userId,songId,Q1,Q2,Q3,Extraversion,sociability,assertiveness,energy_level,Agreeableness,compassion,respectfulness,trust,Conscientiousness,organization,productiveness,responsibility,Neuroticism,anxiety,depression,emotional_volatility,Openness,intellectual_curiosity,aesthetic_sensitivity,creative_imagination,rms,lowenergy,eventdensity,pulseclarity,attacktime_mean,attacktime_std,attacktime_slope,attacktime_periodentropy,attackslope_mean,attackslope_std,attackslope_slope,attackslope_periodentropy,zerocross,brightness,centroid,spread,skewness,kurtosis,flatness,mirentropy,inharmonicity,activity,valence,tension,happy,sad,tender,anger,fear
16,30951,1,1,1,3,2.75,3.25,3,3.333333333,3.5,3.5,3,2.833333333,2.25,2.75,3.5,3.333333333,3.25,3.75,3,2.833333333,2.75,2.5,3.25,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
34,30951,3,3,3,2.166666667,1.75,2.5,2.25,3.833333333,4,4,3.5,3.416666667,3.5,3.25,3.5,3.25,4,3.25,2.5,3.25,4.5,2.5,2.75,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
78,30951,4,3,2,2.583333333,2.5,3.25,2,2.5,3.25,2.5,1.75,2.25,2.25,1.5,3,4.166666667,4.25,4.25,4,4.416666667,4.75,4.75,3.75,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
236,30951,3,2,2,3,3.25,2.75,3,3.166666667,3.25,3.75,2.5,4.25,4.75,4,4,2.916666667,3.5,2.5,2.75,3.583333333,4,3,3.75,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
238,30951,1,1,1,1.833333333,1.5,2.25,1.75,4.416666667,4.75,4.5,4,3.833333333,4,3,4.5,3.916666667,5,4.5,2.25,4.416666667,5,5,3.25,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
239,30951,2,1,1,3.833333333,3.75,4.25,3.5,2.583333333,2.75,3,2,3.833333333,3.75,3.75,4,2.333333333,2.75,2.25,2,4.083333333,5,3,4.25,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
285,30951,2,1,1,3.166666667,3,2.75,3.75,3.25,3.25,3.25,3.25,3.916666667,4.5,3.75,3.5,1.833333333,1.75,2,1.75,4.333333333,5,3,5,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
289,30951,2,4,2,3.25,3.5,3,3.25,2.75,3,2.75,2.5,3.25,3.5,3.25,3,3.333333333,3.25,3.75,3,4.583333333,4.5,5,4.25,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
305,30951,3,3,3,2.166666667,1.5,3.25,1.75,4.25,4.75,4,4,3.5,3.5,3.25,3.75,3.916666667,4.75,3.75,3.25,3.916666667,4.25,3.75,3.75,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
306,30951,1,1,1,4,4.75,4,3.25,3.083333333,2.75,3,3.5,2.916666667,3.5,2.5,2.75,2.833333333,3,3,2.5,3.833333333,3.75,3.25,4.5,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
